Location,HealthcareName,ServiceType
Barrie,LifeLabs,Laboratory - Specimen Collection Centre
Collingwood,LifeLabs,Laboratory - Specimen Collection Centre
Stayner,LifeLabs,Laboratory - Specimen Collection Centre
Orillia,LifeLabs,Laboratory - Specimen Collection Centre
Bracebridge,In-Common Laboratories,Laboratory - Specimen Collection Centre
Huntsville,In-Common Laboratories,Laboratory - Specimen Collection Centre
Barrie,LifeLabs,Laboratory - Specimen Collection Centre
Wasaga Beach,LifeLabs,Laboratory - Specimen Collection Centre
New Tecumseth,Dynacare,Laboratory - Specimen Collection Centre
London,Dynacare,Laboratory - Specimen Collection Centre
Huntsville,Dynacare,Laboratory - Specimen Collection Centre
Innisfil,LifeLabs,Laboratory - Specimen Collection Centre
Barrie,LifeLabs,Laboratory - Specimen Collection Centre
Orillia,LifeLabs,Laboratory - Specimen Collection Centre
Barrie,LifeLabs,Laboratory - Specimen Collection Centre
Penetanguishene,Georgian Bay General Hospital - Penetanguishene Hospital Site,Laboratory - Specimen Collection Centre
Burk's Falls,Burk's Falls and District Health Centre Site,Laboratory - Specimen Collection Centre
Borden,LifeLabs,Laboratory - Specimen Collection Centre
Midland,Dynacare,Laboratory - Specimen Collection Centre
Midland,Georgian Bay General Hospital -  Midland Site,Laboratory - Hospital
Bracebridge,South Muskoka Memorial Hospital,Laboratory - Hospital
Collingwood,Collingwood General and Marine Hospital,Laboratory - Hospital
Huntsville,Huntsville District Memorial Hospital,Laboratory - Hospital
Orillia,Orillia Soldiers' Memorial Hospital,Laboratory - Hospital
Barrie,Royal Victoria Regional Health Centre,Laboratory - Hospital
Orillia,Ontario Agency for Health Protection and Promotion - Orillia Public Health Laboratory,Laboratory - Hospital
Oshawa,Flow Health Services Incorporated,Laboratory - Community Private
Thunder Bay,LifeLabs,Laboratory - Specimen Collection Centre
Thunder Bay,LifeLabs,Laboratory - Specimen Collection Centre
Fort Frances,LifeLabs,Laboratory - Specimen Collection Centre
Kenora,Dr. Peter D. Pan Regional Laboratory,Laboratory - Hospital
Sioux Lookout,Sioux Lookout Meno Ya Win Health Centre,Laboratory - Hospital
Atikokan,Atikokan General Hospital,Laboratory - Hospital
Dryden,Dryden Regional Health Centre,Laboratory - Hospital
Fort Frances,Riverside Health Care Facilities Inc.,Laboratory - Hospital
Geraldton,Geraldton District Hospital,Laboratory - Hospital
Thunder Bay,Thunder Bay Regional Health Sciences Centre,Laboratory - Hospital
Marathon,Wilson Memorial General Hospital,Laboratory - Hospital
Nipigon,Nipigon District Memorial Hospital,Laboratory - Hospital
Manitouwadge,Santé Manitouwadge Health,Laboratory - Hospital
Terrace Bay,The McCausland Hospital,Laboratory - Hospital
Red Lake,Red Lake Margaret Cochenour Memorial Hospital,Laboratory - Hospital
Thunder Bay,Ontario Agency for Health Protection and Promotion - Thunder Bay Public Health Laboratory,Laboratory - Hospital
Thunder Bay,LifeLabs,Laboratory - Community Private
Quinte West,LifeLabs,Laboratory - Specimen Collection Centre
Perth,LifeLabs,Laboratory - Specimen Collection Centre
Kingston,LifeLabs,Laboratory - Specimen Collection Centre
Prince Edward,LifeLabs,Laboratory - Specimen Collection Centre
Kingston,LifeLabs,Laboratory - Specimen Collection Centre
Belleville,LifeLabs,Laboratory - Specimen Collection Centre
Napanee,In-Common Laboratories,Laboratory - Specimen Collection Centre
Napanee,LifeLabs,Laboratory - Specimen Collection Centre
Perth,In-Common Laboratories,Laboratory - Specimen Collection Centre
Brockville,LifeLabs,Laboratory - Specimen Collection Centre
Smiths Falls,LifeLabs,Laboratory - Specimen Collection Centre
Bancroft,LifeLabs,Laboratory - Specimen Collection Centre
Kingston,LifeLabs,Laboratory - Specimen Collection Centre
Kingston,FlowLabs - Kingston,Laboratory - Specimen Collection Centre
Napanee,Lennox and Addington County General Hospital,Laboratory - Hospital
Kingston,Providence Care Hospital,Laboratory - Hospital
Kingston,Kingston General Hospital,Laboratory - Hospital
Belleville,Quinte Health Care - Belleville Hospital,Laboratory - Hospital
Smiths Falls,Perth & Smiths Falls District Hospital - Smiths Falls Site,Laboratory - Hospital
Kingston,The Religious Hospitallers of St. Joseph of the Hotel Dieu of Kingston,Laboratory - Hospital
Brockville,Brockville General Hospital,Laboratory - Hospital
Perth,Perth & Smiths Falls District Hospital -  Perth Site,Laboratory - Hospital
Kingston,Ontario Agency for Health Protection and Promotion - Kingston Public Health Laboratory,Laboratory - Hospital
Belleville,LifeLabs,Laboratory - Community Private
Kingston,The National Inherited Bleeding Disorder Genotyping Laboratory,Laboratory - Community Private
St. Thomas,LifeLabs,Laboratory - Specimen Collection Centre
London,LifeLabs,Laboratory - Specimen Collection Centre
London,LifeLabs,Laboratory - Specimen Collection Centre
London,LifeLabs,Laboratory - Specimen Collection Centre
Woodstock,LifeLabs,Laboratory - Specimen Collection Centre
Aylmer,LifeLabs,Laboratory - Specimen Collection Centre
London,LifeLabs,Laboratory - Specimen Collection Centre
London,LifeLabs,Laboratory - Specimen Collection Centre
London,LifeLabs,Laboratory - Specimen Collection Centre
St. Thomas,LifeLabs,Laboratory - Specimen Collection Centre
Owen Sound,LifeLabs,Laboratory - Specimen Collection Centre
Gads Hill,Dynacare,Laboratory - Specimen Collection Centre
London,Dynacare,Laboratory - Specimen Collection Centre
London,Dynacare,Laboratory - Specimen Collection Centre
London,Dynacare,Laboratory - Specimen Collection Centre
London,Dynacare,Laboratory - Specimen Collection Centre
Woodstock,LifeLabs,Laboratory - Specimen Collection Centre
London,LifeLabs,Laboratory - Specimen Collection Centre
Hanover,LifeLabs,Laboratory - Specimen Collection Centre
Ingersoll,LifeLabs,Laboratory - Specimen Collection Centre
Listowel,LifeLabs,Laboratory - Specimen Collection Centre
Stratford,LifeLabs,Laboratory - Specimen Collection Centre
Strathroy,Dynacare,Laboratory - Specimen Collection Centre
Goderich,Dynacare,Laboratory - Specimen Collection Centre
Huron East,Dynacare,Laboratory - Specimen Collection Centre
London,Alpha Laboratories Incorporated,Laboratory - Specimen Collection Centre
Wingham,Wingham Specimen Collection Centre,Laboratory - Specimen Collection Centre
London,Dynacare,Laboratory - Specimen Collection Centre
St. Thomas,St. Thomas-Elgin General Hospital,Laboratory - Hospital
Southampton,Grey Bruce Health Services - Southampton Site,Laboratory - Hospital
Woodstock,Woodstock General Hospital,Laboratory - Hospital
Ingersoll,Alexandra Hospital,Laboratory - Hospital
Exeter,South Huron Hospital,Laboratory - Hospital
Goderich,Alexandra Marine and General Hospital,Laboratory - Hospital
Meaford,Grey Bruce Health Services - Meaford Site,Laboratory - Hospital
Annan,Grey Bruce Health Services - Owen Sound Site,Laboratory - Hospital
Strathroy,Strathroy Middlesex General Hospital,Laboratory - Hospital
Stratford,Huron Perth Healthcare Alliance - Stratford Site,Laboratory - Hospital
Huron East,Huron Perth Healthcare Alliance - Seaforth Site,Laboratory - Hospital
Durham,South Bruce Grey Health Centre - Durham,Laboratory - Hospital
Clinton,Huron Perth Healthcare Alliance - Clinton Site,Laboratory - Hospital
London,St. Joseph's Health Care London,Laboratory - Hospital
Tillsonburg,Tillsonburg District Memorial Hospital,Laboratory - Hospital
Kincardine,South Bruce Grey Health Centre - Kincardine,Laboratory - Hospital
Saint Marys,Huron Perth Healthcare Alliance - St. Marys Site,Laboratory - Hospital
Listowel,Listowel Memorial Hospital,Laboratory - Hospital
Markdale,Grey Bruce Health Services - Markdale Site,Laboratory - Hospital
Wiarton,Grey Bruce Health Services - Bruce Peninsula Site,Laboratory - Hospital
London,London Health Sciences Centre - University Hospital,Laboratory - Hospital
Wingham,Wingham & District Hospital,Laboratory - Hospital
Hanover,Hanover and District Hospital Laboratory,Laboratory - Hospital
Walkerton,South Bruce Grey Health Centre - Walkerton,Laboratory - Hospital
London,London Health Sciences Centre - Victoria Hospital,Laboratory - Hospital
London,Ontario Agency for Health Protection and Promotion - London Public Health Laboratory,Laboratory - Hospital
London,Dynacare,Laboratory - Community Private
London,LifeLabs,Laboratory - Community Private
Toronto,LifeLabs,Laboratory - Specimen Collection Centre
Toronto,LifeLabs,Laboratory - Specimen Collection Centre
Toronto,Alpha Laboratories Incorporated,Laboratory - Specimen Collection Centre
Toronto,LifeLabs,Laboratory - Specimen Collection Centre
Toronto,Alpha Laboratories Incorporated,Laboratory - Specimen Collection Centre
Toronto,LifeLabs,Laboratory - Specimen Collection Centre
Toronto,LifeLabs,Laboratory - Specimen Collection Centre
Toronto,LifeLabs,Laboratory - Specimen Collection Centre
Toronto,LifeLabs,Laboratory - Specimen Collection Centre
Toronto,St. Michael's Hospital - St. Lawrence Health Centre,Laboratory - Specimen Collection Centre
Toronto,In-Common Laboratories,Laboratory - Specimen Collection Centre
Toronto,St. Michael's Hospital Health Centre at 410,Laboratory - Specimen Collection Centre
Toronto,LifeLabs,Laboratory - Specimen Collection Centre
Toronto,In-Common Laboratories,Laboratory - Specimen Collection Centre
Toronto,LifeLabs,Laboratory - Specimen Collection Centre
Toronto,LifeLabs,Laboratory - Specimen Collection Centre
Toronto,LifeLabs,Laboratory - Specimen Collection Centre
Toronto,LifeLabs,Laboratory - Specimen Collection Centre
Toronto,LifeLabs,Laboratory - Specimen Collection Centre
Toronto,LifeLabs,Laboratory - Specimen Collection Centre
Toronto,LifeLabs,Laboratory - Specimen Collection Centre
Toronto,Dynacare,Laboratory - Specimen Collection Centre
Toronto,Dynacare,Laboratory - Specimen Collection Centre
Toronto,Dynacare,Laboratory - Specimen Collection Centre
Toronto,Dynacare,Laboratory - Specimen Collection Centre
Toronto,Dynacare,Laboratory - Specimen Collection Centre
Toronto,Dynacare,Laboratory - Specimen Collection Centre
Toronto,LifeLabs,Laboratory - Specimen Collection Centre
Toronto,LifeLabs,Laboratory - Specimen Collection Centre
Toronto,LifeLabs,Laboratory - Specimen Collection Centre
Toronto,LifeLabs,Laboratory - Specimen Collection Centre
Toronto,LifeLabs,Laboratory - Specimen Collection Centre
Toronto,LifeLabs,Laboratory - Specimen Collection Centre
Toronto,LifeLabs,Laboratory - Specimen Collection Centre
Toronto,LifeLabs,Laboratory - Specimen Collection Centre
Toronto,LifeLabs,Laboratory - Specimen Collection Centre
Toronto,LifeLabs,Laboratory - Specimen Collection Centre
Toronto,LifeLabs,Laboratory - Specimen Collection Centre
Toronto,LifeLabs,Laboratory - Specimen Collection Centre
Toronto,LifeLabs,Laboratory - Specimen Collection Centre
Toronto,Porphyrin Photobiology Laboratory,Laboratory - Specimen Collection Centre
Toronto,LifeLabs,Laboratory - Specimen Collection Centre
Toronto,LifeLabs,Laboratory - Specimen Collection Centre
Toronto,Dynacare,Laboratory - Specimen Collection Centre
Toronto,Alpha Laboratories Incorporated,Laboratory - Specimen Collection Centre
Toronto,Alpha Laboratories Incorporated,Laboratory - Specimen Collection Centre
Toronto,Alpha Laboratories Incorporated,Laboratory - Specimen Collection Centre
Toronto,Centre for Addiction and Mental Health - College Street Site,Laboratory - Specimen Collection Centre
Toronto,Alpha Laboratories Incorporated,Laboratory - Specimen Collection Centre
Toronto,Med-Health Laboratories Limited,Laboratory - Specimen Collection Centre
Toronto,FlowLabs - Bay Street,Laboratory - Specimen Collection Centre
Toronto,St. Michael's Hospital - Sumac Creek,Laboratory - Specimen Collection Centre
Toronto,St. Michael's Hospital - 61 Queen,Laboratory - Specimen Collection Centre
Toronto,St. Michael's Hospital,Laboratory - Hospital
Toronto,Sunnybrook Health Sciences Centre - Women's College Hospital,Laboratory - Hospital
Toronto,"Michael Garron Hospital, Toronto East Health Network",Laboratory - Hospital
Toronto,St. Joseph's Health Centre,Laboratory - Hospital
Toronto,The Hospital For Sick Children,Laboratory - Hospital
Toronto,The Princess Margaret Hospital,Laboratory - Hospital
Toronto,Mount Sinai Hospital,Laboratory - Hospital
Toronto,Toronto Western Hospital,Laboratory - Hospital
Toronto,Toronto General Hospital,Laboratory - Hospital
Toronto,"Faculty of Dentistry, Oral Pathology Laboratory",Laboratory - Hospital
Toronto,Sunnybrook Health Sciences Centre - Holland Orthopaedic and Arthritic Site,Laboratory - Hospital
Toronto,The Toronto Hospital Regional Histocompatibility Laboratory,Laboratory - Hospital
Toronto,Centre for Addiction and Mental Health,Laboratory - Hospital
Toronto,Sunnybrook Health Sciences Centre Laboratory,Laboratory - Hospital
Toronto,Reactivation Care Centre - Mackenzie Health,Laboratory - Hospital
Toronto,Reactivation Care Centre - William Osler Health System,Laboratory - Hospital
Toronto,Womens College Hospital,Laboratory - Hospital
Toronto,Med-Health Laboratories Limited,Laboratory - Community Private
Toronto,LifeLabs,Laboratory - Community Private
Toronto,LifeLabs,Laboratory - Community Private
Toronto,LifeLabs,Laboratory - Community Private
Guelph,LifeLabs,Laboratory - Specimen Collection Centre
Kitchener,LifeLabs,Laboratory - Specimen Collection Centre
Fergus,LifeLabs,Laboratory - Specimen Collection Centre
Cambridge,LifeLabs,Laboratory - Specimen Collection Centre
Kitchener,LifeLabs,Laboratory - Specimen Collection Centre
Guelph,LifeLabs,Laboratory - Specimen Collection Centre
Cambridge,LifeLabs,Laboratory - Specimen Collection Centre
New Hamburg,LifeLabs,Laboratory - Specimen Collection Centre
Cambridge,LifeLabs,Laboratory - Specimen Collection Centre
Waterloo,LifeLabs,Laboratory - Specimen Collection Centre
Kitchener,LifeLabs,Laboratory - Specimen Collection Centre
Cambridge,LifeLabs,Laboratory - Specimen Collection Centre
Guelph,LifeLabs,Laboratory - Specimen Collection Centre
Guelph,LifeLabs,Laboratory - Specimen Collection Centre
Oshawa,LifeLabs,Laboratory - Specimen Collection Centre
Kitchener,LifeLabs,Laboratory - Specimen Collection Centre
Guelph,LifeLabs,Laboratory - Specimen Collection Centre
Guelph,LifeLabs,Laboratory - Specimen Collection Centre
Waterloo,LifeLabs,Laboratory - Specimen Collection Centre
Kitchener,Dynacare,Laboratory - Specimen Collection Centre
Kitchener,LifeLabs,Laboratory - Specimen Collection Centre
Kitchener,Grand River Hospital,Laboratory - Hospital
Kitchener,St. Mary's General Hospital,Laboratory - Hospital
Guelph,Guelph General Hospital,Laboratory - Hospital
Mount Forest,North Wellington Health Care Corporation - Mount Forest Site,Laboratory - Hospital
Palmerston,North Wellington Health Care Corporation - Palmerston Site,Laboratory - Hospital
Fergus,Groves Memorial Community Hospital,Laboratory - Hospital
Cambridge,Cambridge Memorial Hospital,Laboratory - Hospital
Guelph,Homewood Health Centre,Laboratory - Hospital
Sarnia,Afton Park Place Long Term Care Community,Long-Term Care Home
Lincoln,"Albright Gardens Homes, Incorporated",Long-Term Care Home
Hamilton,Alexander Place,Long-Term Care Home
Thessalon,Algoma Manor Nursing Home,Long-Term Care Home
Mattawa,Algonquin Nursing Home,Long-Term Care Home
Milton,Allendale,Long-Term Care Home
Mississippi Mills,Almonte Country Haven,Long-Term Care Home
Toronto,Altamont Care Community,Long-Term Care Home
Hagersville,Anson Place Care Centre,Long-Term Care Home
Hamilton,Arbour Creek Long-Term Care Centre,Long-Term Care Home
Kingston,Arbour Heights,Long-Term Care Home
Atikokan,Atikokan General Hospital,Long-Term Care Home
West Nipissing,Au Chateau,Long-Term Care Home
Orangeville,Avalon Retirement Centre,Long-Term Care Home
Wardsville,Babcock Community Care Centre,Long-Term Care Home
Windsor,Banwell Gardens Care Centre,Long-Term Care Home
Elmira,Barnswallow Place Care Community,Long-Term Care Home
Collingwood,Bay Haven Nursing Home,Long-Term Care Home
Pickering,Bay Ridges,Long-Term Care Home
Kemptville,Bayfield Manor,Long-Term Care Home
Hamilton,BayWoods Place,Long-Term Care Home
Niagara Falls,Bella Senior Care Residences,Long-Term Care Home
Toronto,Belmont House,Long-Term Care Home
Belleville,Belmont Long Term Care Facility,Long-Term Care Home
Parry Sound,Belvedere Heights,Long-Term Care Home
Toronto,Bendale Acres,Long-Term Care Home
Halton Hills,Bennett Health Care Centre,Long-Term Care Home
Windsor,Berkshire Care Centre,Long-Term Care Home
Thunder Bay,Bethammi Nursing Home,Long-Term Care Home
Markham,Bethany Lodge,Long-Term Care Home
Burlington,Billings Court Manor,Long-Term Care Home
Kenora,Birchwood Terrace,Long-Term Care Home
Hamilton,Blackadar Continuing Care Centre,Long-Term Care Home
Chatham-Kent,Blenheim Community Village,Long-Term Care Home
Whitchurch-Stouffville,Bloomington Cove Care Community,Long-Term Care Home
Zurich,Blue Water Rest Home,Long-Term Care Home
Barrie,Bob Rumball Home for The Deaf,Long-Term Care Home
Dutton,Bobier Villa,Long-Term Care Home
Renfrew,Bonnechere Manor,Long-Term Care Home
Bradford West Gwillimbury,Bradford Valley Care Community,Long-Term Care Home
Wingham,Braemar Retirement Centre,Long-Term Care Home
Brantford,Brierwood Gardens,Long-Term Care Home
Smiths Falls,Broadview Nursing Centre,Long-Term Care Home
Windsor,Brouillette Manor,Long-Term Care Home
Walkerton,Brucelea Haven Long Term Care Home - Corporation of the County of Bruce,Long-Term Care Home
Burlington,Burloak,Long-Term Care Home
Campbellford,Burnbrae Gardens Long Term Care Residence,Long-Term Care Home
Brampton,Burton Manor,Long-Term Care Home
Burlington,CAMA Woodlands Nursing Home,Long-Term Care Home
Cambridge,Cambridge Country Manor,Long-Term Care Home
Mississauga,Camilla Care Community,Long-Term Care Home
Toronto,Carefree Lodge,Long-Term Care Home
Arthur,Caressant Care Arthur Nursing Home,Long-Term Care Home
Clarence-Rockland,Caressant Care Bourget,Long-Term Care Home
Cobden,Caressant Care Cobden,Long-Term Care Home
Courtland,Caressant Care Courtland,Long-Term Care Home
Fergus,Caressant Care Fergus Nursing Home,Long-Term Care Home
Minto,Caressant Care Harriston,Long-Term Care Home
Kawartha Lakes,Caressant Care Lindsay Nursing Home,Long-Term Care Home
Listowel,Caressant Care Listowel Nursing Home,Long-Term Care Home
Marmora,Caressant Care Marmora,Long-Term Care Home
St. Thomas,Caressant Care on Bonnie Place,Long-Term Care Home
St. Thomas,Caressant Care on Mary Bucke,Long-Term Care Home
Kawartha Lakes,Caressant Care on McLaughlin Road,Long-Term Care Home
Woodstock,Caressant Care Woodstock Nursing Home,Long-Term Care Home
Ottawa,Carleton Lodge,Long-Term Care Home
Ottawa,Carlingview Manor,Long-Term Care Home
Gananoque,Carveth Care Centre,Long-Term Care Home
Kawartha Lakes,Case Manor Care Community,Long-Term Care Home
North Bay,Cassellholme,Long-Term Care Home
Toronto,Castleview Wychwood Towers,Long-Term Care Home
Mississauga,Cawthra Gardens,Long-Term Care Home
Georgina,Cedarvale Lodge Retirement and Care Community,Long-Term Care Home
Toronto,Cedarvale Terrace,Long-Term Care Home
Sault Ste. Marie,Cedarwood Lodge,Long-Term Care Home
Simcoe,Cedarwood Village,Long-Term Care Home
Millbrook,Centennial Place Long-Term Care Home,Long-Term Care Home
Ottawa,Centre d'Accueil Champlain,Long-Term Care Home
Clarence Creek,Centre d'Accueil Roger Seguin,Long-Term Care Home
Aurora,Chartwell Aurora Long Term Care Residence,Long-Term Care Home
Aylmer,Chartwell Aylmer Long Term Care Residence,Long-Term Care Home
Ajax,Chartwell Ballycliffe Long Term Care Residence,Long-Term Care Home
Cannington,Chartwell Bon Air Long Term Care Residence,Long-Term Care Home
Burlington,Chartwell Brant Centre Long Term Care Residence,Long-Term Care Home
L'Orignal,Chartwell Champlain Long Term Care Residence,Long-Term Care Home
Elmira,Chartwell Elmira Long Term Care Residence,Long-Term Care Home
Toronto,Chartwell Gibson Long Term Care Residence,Long-Term Care Home
Lancaster,Chartwell Lancaster Long Term Care Residence,Long-Term Care Home
London,Chartwell London Long Term Care Residence,Long-Term Care Home
Niagara-On-The-Lake,Chartwell Niagara Long Term Care Residence,Long-Term Care Home
Parkhill,Chartwell Parkhill Long Term Care Residence,Long-Term Care Home
Vaughan,Chartwell Pine Grove Long Term Care Residence,Long-Term Care Home
Kingsville,Chartwell Royal Oak Long Term Care Residence,Long-Term Care Home
Toronto,Chartwell Trilogy Long Term Care Residence,Long-Term Care Home
Oakville,Chartwell Waterford Long Term Care Residence,Long-Term Care Home
Mississauga,Chartwell Wenleigh Long Term Care Residence,Long-Term Care Home
Toronto,Chartwell Westbury Long Term Care Residence,Long-Term Care Home
Kitchener,Chartwell Westmount Long Term Care Residence,Long-Term Care Home
Toronto,Chartwell White Eagle Long Term Care Residence,Long-Term Care Home
Hamilton,Chartwell Willowgrove Long Term Care Residence,Long-Term Care Home
Markham,Chartwell Woodhaven Long Term Care Residence,Long-Term Care Home
Hampton,Chartwell Wynfield Long Term Care Residence,Long-Term Care Home
Windsor,Chateau Park Long Term Care Home,Long-Term Care Home
London,Chelsey Park,Long-Term Care Home
Toronto,Cheltenham Care Community,Long-Term Care Home
Toronto,Chester Village,Long-Term Care Home
Hamilton,Clarion Nursing Home,Long-Term Care Home
Barrie,Coleman Care Centre,Long-Term Care Home
Collingwood,Collingwood Nursing Home,Long-Term Care Home
Waterloo,Columbia Forest,Long-Term Care Home
Mississauga,Cooksville Care Centre,Long-Term Care Home
Toronto,Copernicus Lodge,Long-Term Care Home
Chatham-Kent,Copper Terrace,Long-Term Care Home
Chatsworth,Country Lane Long Term Care Residence,Long-Term Care Home
Komoka,Country Terrace,Long-Term Care Home
South Woodslee,Country Village Homes - Woodslee,Long-Term Care Home
Ailsa Craig,Craigholme,Long-Term Care Home
Toronto,Craiglee Nursing Home,Long-Term Care Home
Creemore,Creedan Valley Care Community,Long-Term Care Home
Burlington,Creek Way Village,Long-Term Care Home
Fort Erie,Crescent Park Lodge,Long-Term Care Home
Quinte West,Crown Ridge Place,Long-Term Care Home
Toronto,Cummer Lodge,Long-Term Care Home
London,Dearness Home for Senior Citizens,Long-Term Care Home
Grimsby,Deer Park Villa,Long-Term Care Home
Toronto,Deerwood Creek Care Community,Long-Term Care Home
Delhi,Delhi Long Term Care Centre,Long-Term Care Home
St. Jacobs,Derbecker's Heritage House,Long-Term Care Home
Toronto,Dom Lipa,Long-Term Care Home
Welland,Douglas H. Rapelje Lodge,Long-Term Care Home
Port Dover,Dover Cliffs,Long-Term Care Home
Toronto,Downsview Long Term Care Centre,Long-Term Care Home
Shelburne,Dufferin Oaks,Long-Term Care Home
Winchester,Dundas Manor Nursing Home,Long-Term Care Home
Hamilton,Dundurn Place Care Centre,Long-Term Care Home
Belleville,E. J. McQuigge Lodge,Long-Term Care Home
Newmarket,Eagle Terrace,Long-Term Care Home
London,Earls Court Village,Long-Term Care Home
Powassan,Eastholme Home for the Aged,Long-Term Care Home
Toronto,Eatonville Care Centre,Long-Term Care Home
Guelph,Eden House Nursing Home,Long-Term Care Home
Dunnville,Edgewater Gardens Long Term Care Centre,Long-Term Care Home
Toronto,Ehatare Nursing Home,Long-Term Care Home
Chesley,Elgin Abbey Nursing Home,Long-Term Care Home
St. Thomas,Elgin Manor,Long-Term Care Home
Richmond Hill,Elginwood,Long-Term Care Home
Ottawa,Élisabeth-Bruyère Residence,Long-Term Care Home
Greater Sudbury,Elizabeth Centre,Long-Term Care Home
Toronto,Elm Grove Living Centre,Long-Term Care Home
London,Elmwood Place,Long-Term Care Home
Emo,EMO Health Centre,Long-Term Care Home
Mississauga,Erin Mills Lodge Nursing Home,Long-Term Care Home
The Blue Mountains,Errinrung Long Term Care Home,Long-Term Care Home
Espanola,Espanola General Hospital (operating as Espanola Nursing Home-Eldcap),Long-Term Care Home
Espanola,Espanola General Hospital (operating as Espanola Nursing Home-LTC),Long-Term Care Home
Exeter,Exeter Villa,Long-Term Care Home
Toronto,Extendicare Bayview,Long-Term Care Home
Brampton,Extendicare Brampton,Long-Term Care Home
Cobourg,Extendicare Cobourg,Long-Term Care Home
Greater Sudbury,Extendicare Falconbridge,Long-Term Care Home
Toronto,Extendicare Guildwood,Long-Term Care Home
Haliburton,Extendicare Haliburton,Long-Term Care Home
Halton Hills,Extendicare Halton Hills,Long-Term Care Home
Hamilton,Extendicare Hamilton,Long-Term Care Home
Kapuskasing,Extendicare Kapuskasing,Long-Term Care Home
Kawartha Lakes,Extendicare Kawartha Lakes,Long-Term Care Home
Kingston,Extendicare Kingston,Long-Term Care Home
Kirkland Lake,Extendicare Kirkland Lake,Long-Term Care Home
Harcourt,Extendicare Lakefield,Long-Term Care Home
Ottawa,Extendicare Laurier Manor,Long-Term Care Home
London,Extendicare London,Long-Term Care Home
Sault Ste. Marie,Extendicare Maple View of Sault Ste. Marie,Long-Term Care Home
Ottawa,Extendicare Medex,Long-Term Care Home
Mississauga,Extendicare Mississauga,Long-Term Care Home
Ottawa,Extendicare New Orchard Lodge,Long-Term Care Home
Oshawa,Extendicare Oshawa,Long-Term Care Home
Peterborough,Extendicare Peterborough,Long-Term Care Home
Port Hope,Extendicare Port Hope,Long-Term Care Home
Port Stanley,Extendicare Port Stanley,Long-Term Care Home
Toronto,Extendicare Rouge Valley,Long-Term Care Home
Toronto,Extendicare Scarborough,Long-Term Care Home
Windsor,Extendicare Southwood Lakes,Long-Term Care Home
St. Catharines,Extendicare St. Catharines,Long-Term Care Home
Ottawa,Extendicare Starwood,Long-Term Care Home
Tecumseh,Extendicare Tecumseh,Long-Term Care Home
Timmins,Extendicare Timmins,Long-Term Care Home
Temiskaming Shores,Extendicare Tri-Town,Long-Term Care Home
Sault Ste. Marie,Extendicare Van Daele,Long-Term Care Home
Ottawa,Extendicare West End Villa,Long-Term Care Home
Greater Sudbury,Extendicare York,Long-Term Care Home
Sault Ste. Marie,F. J. Davey Home,Long-Term Care Home
Chatham-Kent,Fairfield Park,Long-Term Care Home
Peterborough,Fairhaven,Long-Term Care Home
Kingston,Fairmount Home for the Aged,Long-Term Care Home
Huntsville,Fairvern Nursing Home,Long-Term Care Home
Whitby,Fairview Lodge,Long-Term Care Home
Mississippi Mills,Fairview Manor,Long-Term Care Home
Cambridge,Fairview Mennonite Home,Long-Term Care Home
Toronto,Fairview Nursing Home,Long-Term Care Home
Brampton,Faith Manor Nursing Home,Long-Term Care Home
Kawartha Lakes,Fenelon Court,Long-Term Care Home
Petrolia,Fiddick's Nursing Home,Long-Term Care Home
Toronto,Fieldstone Commons Care Community,Long-Term Care Home
Greater Sudbury,Finlandia Hoivakoti Nursing Home,Long-Term Care Home
Kitchener,Forest Heights,Long-Term Care Home
Ottawa,Forest Hill,Long-Term Care Home
Toronto,Fosterbrooke,Long-Term Care Home
Toronto,Fountain View Care Community,Long-Term Care Home
Brantford,Fox Ridge Care Community,Long-Term Care Home
Hearst,Foyer Des Pionniers,Long-Term Care Home
Welland,Foyer Richelieu Welland,Long-Term Care Home
Limoges,Foyer St-Viateur Nursing Home,Long-Term Care Home
Leamington,Franklin Gardens Long Term Care Home,Long-Term Care Home
Deseronto,Friendly Manor Nursing Home,Long-Term Care Home
Kawartha Lakes,Frost Manor,Long-Term Care Home
Toronto,Fudger House,Long-Term Care Home
St. Catharines,Garden City Manor,Long-Term Care Home
Toronto,Garden Court Nursing Home,Long-Term Care Home
Ottawa,Garden Terrace,Long-Term Care Home
Townsend,Gardenview Long Term Care Home,Long-Term Care Home
Ottawa,Garry J. Armstrong Home,Long-Term Care Home
Wiarton,Gateway Haven Long Term Care Home,Long-Term Care Home
Owen Sound,Georgian Heights,Long-Term Care Home
Penetanguishene,Georgian Manor Home for the Aged,Long-Term Care Home
Geraldton,Geraldton District Hospital,Long-Term Care Home
Fort Erie,Gilmore Lodge,Long-Term Care Home
Ottawa,Glebe Centre,Long-Term Care Home
Bowmanville,Glen Hill Marnwood,Long-Term Care Home
Bowmanville,Glen Hill Strathaven,Long-Term Care Home
Cornwall,Glen-Stor-Dun Lodge,Long-Term Care Home
Lion's Head,Golden Dawn Nursing Home,Long-Term Care Home
Timmins,Golden Manor,Long-Term Care Home
Cobourg,Golden Plough Lodge,Long-Term Care Home
Cambridge,Golden Years Nursing Home,Long-Term Care Home
New Tecumseth,Good Samaritan Nursing Home,Long-Term Care Home
Brampton,Grace Manor,Long-Term Care Home
Hamilton,Grace Villa Nursing Home,Long-Term Care Home
